Latenz(ns)
90
40
40
50
50
40
41
40
50
50
40
40
50
50
41
40
40
50
40
50
40
50
41
40
40
40
40
40
40
40
41
50
50
50
50
40
40
50
41
50
40
40
40
40
40
40
40
40
40
50
40
50
40
40
40
50
50
40
40
50
40
50
41
50
50
40
40
40
40
40
61
40
50
40
40
40
50
40
41
40
40
40
40
40
40
50
40
40
50
40
40
40
40
40
40
40
40
40
50
40
40
40
50
50
40
50
50
40
40
41
40
40
40
40
40
50
50
40
40
40
50
40
50
40
40
41
40
40
40
40
40
40
40
40
40
40
40
50
40
50
40
50
50
40
50
40
40
40
50
40
50
40
40
40
50
50
40
50
40
50
40
50
40
40
40
40
51
40
50
40
50
40
50
40
40
50
40
40
40
40
40
40
41
40
50
40
50
40
40
50
40
50
50
40
50
50
50
40
40
40
40
50
40
50
50
51
30
40
40
40
40
40
40
40
40
40
40
40
40
40
50
40
40
40
40
40
40
50
40
40
51
40
50
40
50
40
50
40
41
40
40
50
50
40
50
40
41
40
40
50
40
50
50
40
41
50
40
40
40
40
40
40
41
40
40
50
50
50
50
40
41
40
50
40
40
40
50
50
51
40
40
40
40
50
40
50
41
40
50
40
50
40
40
40
41
40
40
50
40
40
50
50
41
40
40
40
40
40
40
50
40
40
50
40
50
40
40
40
41
40
40
50
50
40
50
50
41
50
40
40
40
40
40
40
51
40
50
40
40
40
40
40
50
40
40
40
50
50
50
40
40
40
40
40
40
50
50
40
41
40
50
50
50
40
40
40
51
40
50
40
40
50
40
40
41
40
50
40
40
40
40
40
40
40
50
50
40
50
50
40
40
50
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
51
40
50
40
40
40
40
40
41
40
50
50
40
40
50
40
41
40
50
60
40
50
40
40
51
40
40
50
40
40
50
50
40
40
40
40
40
40
50
50
51
40
50
50
40
50
40
40
41
40
40
40
40
50
40
40
51
40
40
50
50
50
50
40
51
40
30
40
50
40
50
40
41
40
40
40
40
40
40
40
41
40
40
50
40
50
40
50
51
40
40
40
40
40
40
50
40
50
40
40
40
50
40
40
50
40
50
40
50
50
50
50
40
40
50
40
40
40
40
40
40
41
40
40
40
40
40
40
40
41
40
40
40
50
30
40
50
41
40
40
50
40
40
30
40
51
40
40
40
40
40
50
40
41
40
40
30
50
40
40
40
50
40
40
40
40
40
40
40
40
51
40
40
40
50
40
40
40
51
40
40
50
50
40
40
50
41
50
50
40
50
40
40
50
41
40
40
40
50
40
40
40
51
40
50
50
50
40
40
40
50
50
40
40
50
41
50
40
50
40
40
40
40
40
40
40
40
50
50
50
40
41
40
40
50
40
50
40
40
40
40
40
40
50
40
40
40
50
50
50
50
40
60
40
40
51
50
40
40
40
40
40
40
41
40
40
50
50
40
50
50
51
50
40
40
40
40
50
50
41
40
50
60
50
40
40
40
30
40
50
40
50
50
50
40
40
50
40
40
50
40
40
40
40
40
40
40
40
40
40
40
50
40
50
40
40
40
50
50
40
50
40
40
50
40
50
40
40
40
40
40
40
40
50
40
40
40
40
50
40
40
50
40
41
40
40
40
50
40
40
40
41
40
40
40
40
40
40
50
61
50
40
40
40
40
40
50
41
40
40
50
40
40
40
40
41
40
40
40
40
40
40
40
41
40
40
40
40
50
40
40
40
40
50
40
40
40
50
40
40
40
40
50
40
40
40
50
40
40
40
40
40
50
40
50
61
40
40
50
40
50
40
50
40
40
40
40
40
50
40
50
40
40
50
40
40
40
40
40
40
41
50
40
40
40
40
50
40
51
50
40
50
40
40
40
40
41
50
40
40
40
40
50
40
41
50
40
40
50
50
40
50
41
50
40
40
50
40
50
40
41
40
50
50
40
50
40
40
40
50
50
40
50
40
40
50
41
40
40
40
40
50
40
40
51
50
50
50
60
50
40
50
41
40
40
40
40
40
40
40
41
50
40
40
40
50
40
40
41
50
40
40
40
50
40
40
41
40
50
40
50
40
50
40
51
50
50
40
40
40
40
40
40
50
40
40
40
50
40
40
40
40
40
40
50
40
50
40
40
40
40
40
40
40
40
50
40
51
40
40
40
40
40
40
40
41
40
50
40
50
40
50
50
51
40
40
40
40
50
40
50
51
40
40
50
40
30
40
40
40
40
50
40
50
60
40
40
41
40
40
50
40
40
50
40
41
50
50
40
40
40
40
40
51
40
40
40
50
40
40
50
41
40
40
40
40
40
40
40
41
40
40
50
40
40
40
40
51
50
50
60
50
40
40
50
41
40
40
40
40
40
40
40
51
40
40
40
50
40
40
40
51
40
40
40
40
40
40
50
40
40
40
40
40
40
50
40
40
40
40
50
50
40
40
40
40
51
40
40
40
50
40
50
40
41
40
50
40
40
40
40
40
40
40
40
40
40
40
41
40
40
40
40
40
50
50
51
40
40
50
50
40
50
40
51
40
40
40
50
50
40
50
41
40
40
50
50
40
40
40
41
40
40
50
40
50
40
40
41
40
40
40
50
50
40
40
41
40
40
40
40
40
40
50
41
50
40
40
50
40
40
40
40
50
50
40
40
40
40
40
50
50
40
40
40
40
50
50
40
40
40
40
40
50
40
50
40
50
40
40
40
40
40
40
41
40
40
50
40
40
40
40
50
40
40
40
40
50
40
40
50
40
50
40
40
50
50
40
40
40
50
40
50
40
40
40
50
40
40
40
40
40
40
40
40
40
50
50
40
40
50
51
40
50
40
40
50
50
40
